Team,Service,Action,Method,Endpoint or Topic,Request Data,Response / Effect,When to use,Description,Status
Post-sale,warranty-service,Subscribe event,Kafka,warranty.coverage.verified-topic,"{""claimId"":<UUID>,""warrantyId"":<UUID>,""defectId"":<UUID>,""contractId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>,""coverageStatus"":<enum: COVERED|REJECTED>,""coverageReason"":<string>,""verifiedAt"":<ISO8601>,""expiresAt"":<ISO8601>}",ใช้ data ไปนัดซ่อม / แจ้งลูกค้า,เมื่อ Legal ตรวจ warranty เสร็จ,Subscribe topic เพื่อรับผลตรวจ warranty,Optional (Flow 4 ใหม่ Post-sale ตรวจเอง)
Post-sale,warranty-service,REST query,GET,https://warranty-service-gtv0.onrender.com/api/warranties/{contractId},Path: contractId (UUID),200 OK + Warranty object | 404 Not Found,อยากดู warranty ของสัญญา,อ่าน warranty พร้อม claims ทั้งหมด,Required (Flow 4 — Post-sale ใช้ตรวจ warranty)
Post-sale,warranty-service,REST query,GET,https://warranty-service-gtv0.onrender.com/api/warranties/{warrantyId}/claims,Path: warrantyId (UUID),200 OK + WarrantyClaim[] | 404 Not Found,อยากดู list claims ภายใต้ warranty,list ทุก claim ที่ลูกค้าเคยแจ้ง,Optional (utility query)
Frontend / Customer UI,contract-service,REST query,GET,https://contract-service-h5fs.onrender.com/api/contracts/{id},Path: id (UUID),200 OK + Contract object,แสดงสัญญาให้ลูกค้าดูใน UI,อ่านสถานะสัญญาตาม id,Optional (UI utility)
Frontend / Customer UI,contract-service,REST query,GET,https://contract-service-h5fs.onrender.com/api/contracts?customerId={uuid},Query: customerId (UUID),200 OK + Contract[],แสดงสัญญาทั้งหมดของลูกค้าใน profile,list สัญญาของลูกค้า,Optional (UI utility)
Frontend / Customer UI,warranty-service,REST query,GET,https://warranty-service-gtv0.onrender.com/api/warranties/{contractId},Path: contractId (UUID),200 OK + Warranty object,แสดง warranty info ให้ลูกค้าใน UI,อ่านสถานะ warranty,Optional (UI utility)
Internal Admin,contract-service,REST query,GET,https://contract-service-h5fs.onrender.com/api/contracts,(none),200 OK + Contract[],audit / ตรวจ list ทั้งหมด,ดูสัญญาทั้งระบบ (admin),Optional (admin utility)
Internal Admin,acquisition-service,REST query,GET,https://acquisition-service.onrender.com/api/acquisitions,(none),200 OK + Acquisition[],audit / ตรวจ list ทั้งหมด,ดู acquisition ทั้งระบบ (admin),Optional (admin utility)
DevOps,contract-service,REST query,GET,https://contract-service-h5fs.onrender.com/health,(none),"{""status"":""UP"",""service"":""contract-draft-service""}",UptimeRobot ping ทุก 5 นาที,Health check กัน Render free tier sleep,Optional (DevOps)
DevOps,acquisition-service,REST query,GET,https://acquisition-service.onrender.com/health,(none),"{""status"":""UP"",""service"":""property-acquisition-service""}",UptimeRobot ping ทุก 5 นาที,Health check,Optional (DevOps)
DevOps,warranty-service,REST query,GET,https://warranty-service-gtv0.onrender.com/health,(none),"{""status"":""UP"",""service"":""warranty-verification-service""}",UptimeRobot ping ทุก 5 นาที,Health check,Optional (DevOps)
CEO,acquisition-service,Subscribe event,Kafka,property.inspected-topic,"{""acquisitionId"":<UUID>,""surveyId"":<UUID>,""propertyId"":<UUID>,""inspectedBy"":<string>,""inspectionResult"":<enum: PASS|FAIL>,""inspectionNotes"":<string>,""inspectedAt"":<ISO8601>}",CEO ใช้ผลตรวจประกอบการอนุมัติ,หลัง Legal+Inventory ตรวจสอบ property ใน Flow 1,Subscribe เพื่อรับผลตรวจ property จาก Legal+Inventory ก่อนอนุมัติเข้าซื้อ,Required (Flow 1)
Sales & Booking,contract-service,Subscribe event,Kafka,willing.contract.drafted-topic,"{""willingContractId"":<UUID>,""contractId"":<UUID>,""bookingId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>,""fileUrl"":<string>,""draftedAt"":<ISO8601>}",ใช้ส่งสัญญาจะซื้อจะขายให้ลูกค้าเซ็น,หลัง booking confirmed Legal ร่างสัญญาเบื้องต้นเสร็จ,Subscribe เพื่อรับสัญญาจะซื้อจะขายไปประสานลูกค้า,Required (Flow 2)
CEO,contract-service,Subscribe event,Kafka,property.lease.inspected-topic,"{""inspectionId"":<UUID>,""contractId"":<UUID>,""unitId"":<UUID>,""hasOutstandingLease"":<boolean>,""hasEncumbrance"":<boolean>,""inspectionResult"":<enum: PASS|FAIL>,""notes"":<string>,""inspectedAt"":<ISO8601>}",CEO ใช้ผลตรวจประกอบการอนุมัติทำสัญญาขายจริง,หลัง Legal ตรวจ lease + encumbrance ของ property ก่อนทำ purchase contract,Subscribe เพื่อรับผลตรวจ lease ก่อนทำสัญญาขายเต็มรูปแบบ,Required (Flow 2)
Payment,contract-service,Subscribe event,Kafka,purchase.contract.drafted-topic,"{""contractId"":<UUID>,""bookingId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>,""status"":<enum: DRAFT|PENDING_SIGN|SIGNED|CANCELLED>,""fileUrl"":<string>,""templateId"":<UUID>,""createdAt"":<ISO8601>,""draftedAt"":<ISO8601>}",เริ่มกระบวนการรับเงินงวดที่ 2,เมื่อ Legal ร่างสัญญาซื้อขายจริงเสร็จ,Subscribe เพื่อทราบว่าสัญญาขายพร้อมเซ็น สามารถเก็บเงินงวด 2 ได้,Required (Flow 2)
Post-sales,contract-service,Subscribe event,Kafka,purchase.contract.drafted-topic,"{""contractId"":<UUID>,""bookingId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>,""status"":<enum: DRAFT|PENDING_SIGN|SIGNED|CANCELLED>,""fileUrl"":<string>,""templateId"":<UUID>,""createdAt"":<ISO8601>,""draftedAt"":<ISO8601>}",เตรียม onboarding ลูกค้าหลังเซ็นสัญญา,เมื่อ Legal ร่างสัญญาซื้อขายจริงเสร็จ,"Subscribe เพื่อเตรียม customer onboarding (delivery, warranty)",Required (Flow 2)
Post-sale,warranty-service,Publish event,Kafka,case.closed-topic,"{""caseId"":<UUID>,""defectId"":<UUID>,""contractId"":<UUID>,""closedBy"":<string>,""closedAt"":<ISO8601>,""resolution"":<string>}",Legal archive case ในระบบ,หลังซ่อม + แจ้งลูกค้าเสร็จ ปิดเคส defect,Post-sale แจ้งปิดเคส Legal subscribe ไป archive ในระบบ,Required (Flow 4)
Sales & Booking,contract-service,REST inbound (Kafka fallback),POST,https://contract-service-h5fs.onrender.com/api/inbound/booking-confirmed,"{""bookingId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>}","200 OK + {""ok"":true,""contract"":<ContractDraftCreatedEvent>,""kafkaPublishWarnings"":<string[]?>}",ใช้แทน publish booking.order.confirmed-topic ตอน Kafka topic ยังไม่พร้อม,REST fallback ให้ Sales ยิงตรงเข้ามาแทน Kafka — ผลลัพธ์เหมือนกัน 100%,Optional (fallback ตอน Kafka ไม่พร้อม)
Inventory,acquisition-service,REST inbound (Kafka fallback),POST,https://acquisition-service.onrender.com/api/inbound/property-surveyed,"{""surveyId"":<UUID>,""propertyId"":<UUID>,""address"":<string>,""areaSqm"":<number>,""estimatedValue"":<number>,""zoneType"":<string>,""sellerId"":<UUID>,""sellerName"":<string>,""sellerContact"":<string>}","200 OK + {""ok"":true,""acquisition"":<AcquisitionApprovalRequestedEvent>,""kafkaPublishWarnings"":<string[]?>}",ใช้แทน publish property.survey.received-topic ตอน Kafka topic ยังไม่พร้อม,REST fallback ให้ Inventory ยิงตรงเข้ามาแทน Kafka,Optional (fallback ตอน Kafka ไม่พร้อม)
CEO,acquisition-service,REST inbound (Kafka fallback),POST,https://acquisition-service.onrender.com/api/inbound/acquisition-approved,"{""acquisitionId"":<UUID>,""approvedPrice"":<number>,""approvedBy"":<string>}","200 OK + {""ok"":true,""willingContract"":<AcquisitionContractDraftedEvent>,""kafkaPublishWarnings"":<string[]?>}",ใช้แทน publish acquisition.approval.granted-topic ตอน Kafka topic ยังไม่พร้อม,REST fallback ให้ CEO ยิงตรงเข้ามาแทน Kafka,Optional (fallback ตอน Kafka ไม่พร้อม)
Post-sale,warranty-service,REST inbound (Kafka fallback),POST,https://warranty-service-gtv0.onrender.com/api/inbound/warranty-registered,"{""contractId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>,""startsAt"":<ISO8601>,""endsAt"":<ISO8601>,""coveredCategories"":<string[]>}","200 OK + {""ok"":true,""warranty"":{""warrantyId"":<UUID>,""contractId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>,""coverageStartsAt"":<ISO8601>,""coverageEndsAt"":<ISO8601>}}",ใช้แทน publish warranty.coverage.registered-topic ตอน Kafka topic ยังไม่พร้อม,REST fallback ให้ Post-sale ลงทะเบียน warranty ผ่าน HTTP,Optional (fallback ตอน Kafka ไม่พร้อม)
Post-sale,warranty-service,REST inbound (Kafka fallback),POST,https://warranty-service-gtv0.onrender.com/api/inbound/defect-reported,"{""defectId"":<UUID>,""contractId"":<UUID>,""unitId"":<UUID>,""customerId"":<UUID>,""defectCategory"":<enum: STRUCTURAL|ELECTRICAL|PLUMBING|FINISHING|APPLIANCE|OTHER>,""description"":<string>,""reportedAt"":<ISO8601>}","200 OK + {""ok"":true,""verification"":<WarrantyVerifiedEvent>,""kafkaPublishWarnings"":<string[]?>}",ใช้แทน publish warranty.defect.reported-topic ตอน Kafka topic ยังไม่พร้อม,REST fallback ให้ Post-sale ส่ง defect report ผ่าน HTTP,Optional (fallback ตอน Kafka ไม่พร้อม)
CEO,(TBD - CEO/KYC service),REST outbound (Legal calls),GET,(TBD - ขอ URL จาก CEO ทีม) เช่น https://kyc-service.../api/customers/{customerId}/kyc-status,Path: customerId (UUID),"{""customerId"":<UUID>,""kycStatus"":<enum: PASSED|PENDING|REJECTED>,""verifiedAt"":<ISO8601>,""riskLevel"":<string>}",ตอน Legal สร้าง purchase contract — ต้องเช็ค KYC pass ก่อนทำสัญญาขายจริง,Legal เรียก CEO/KYC service เพื่อตรวจสอบสถานะ KYC ของลูกค้าก่อนออกสัญญา → ขอ URL + schema จากทีม CEO/KYC,Optional (TBD — รอทีม CEO/KYC ตอบ)
Inventory,(TBD - Inventory service),REST outbound (Legal calls),GET,(TBD - ขอ URL จาก Inventory ทีม) เช่น https://inventory-service.../api/units/{unitId},Path: unitId (UUID),"{""unitId"":<UUID>,""address"":<string>,""areaSqm"":<number>,""price"":<number>,""projectId"":<UUID>,""unitType"":<string>,""floorNumber"":<number>}",ตอน Legal ร่างสัญญา — ดึง unit detail ใส่เอกสาร,"Legal เรียก Inventory เพื่อดึงรายละเอียด unit (ที่อยู่, ขนาด, ราคา) ใส่ในร่างสัญญา → ขอ URL + schema จากทีม Inventory",Optional (TBD — รอทีม Inventory ตอบ)
Inventory,(TBD - Inventory service),REST outbound (Legal calls),GET,(TBD - ขอ URL จาก Inventory ทีม) เช่น https://inventory-service.../api/units/{unitId}/specs,Path: unitId (UUID),"{""unitId"":<UUID>,""buildYear"":<number>,""materials"":<string[]>,""hasElectrical"":<boolean>,""hasPlumbing"":<boolean>,""applianceList"":<string[]>}",ตอน Legal ตรวจ warranty — ดูว่า defect category ตรงกับ scope ของ unit ไหม,Legal เรียก Inventory เพื่อดึง specs ของ unit ใช้ตรวจ warranty coverage → ขอ URL + schema จากทีม Inventory,Optional (TBD — รอทีม Inventory ตอบ)
Sales & Booking,(TBD - Sales service),REST outbound (Legal calls),GET,(TBD - ขอ URL จาก Sales ทีม) เช่น https://sales-service.../api/bookings/{bookingId}/full,Path: bookingId (UUID),"{""bookingId"":<UUID>,""bookingDate"":<ISO8601>,""depositPaid"":<number>,""agentId"":<UUID>,""customer"":{""customerId"":<UUID>,""firstName"":<string>,""lastName"":<string>,""nationalId"":<string>,""address"":<string>,""phone"":<string>,""email"":<string>},""unit"":{""unitId"":<UUID>}}",ตอน Legal เริ่มร่างสัญญา — ดึงข้อมูล booking + customer ในครั้งเดียว,Legal เรียก Sales 1 ครั้ง ได้ทั้ง booking detail + customer info รวมกัน (ลด HTTP roundtrip) → ขอ URL + schema จากทีม Sales (ถ้าทีม Sales อยากแยก endpoint เป็น 2 ตัวก็ได้),Optional (TBD — รอทีม Sales ตอบ)
