Team	Service	When to use	Action	Method	Endpoint or Topic	Request Data	Response / Effect	Description	Status	Noted
CEO		ตอน Legal สร้าง purchase contract ต้องเช็ค KYC pass ก่อนทำสัญญาขายจริง	REST outbound (Legal calls)	GET	(TBD - ขอ URL จากทีม CEO/KYC) เช่น https://kyc-service.../api/customers/{customerId}/kyc-status	Path: customerId (UUID)	{"customerId":<UUID>,"kycStatus":<enum: PASSED|PENDING|REJECTED>,"verifiedAt":<ISO8601>,"riskLevel":<string>}	ตรวจสอบสถานะ KYC ของลูกค้าก่อนออกสัญญา → ขอ URL + schema จากทีม CEO/KYC	In Progress	Outbound TBD (รอ CEO/KYC ตอบ)
	acquisition-service	เมื่อ Legal ขออนุมัติเข้าซื้อ property	Subscribe event	Kafka	acquisition.approval.requested	{"acquisitionId":<UUID>,"surveyId":<UUID>,"propertyId":<UUID>,"address":<string>,"estimatedValue":<number>,"sellerName":<string>,"requestedAt":<ISO8601>}	CEO พิจารณาว่าจะอนุมัติหรือไม่	Subscribe topic เพื่อรับคำขออนุมัติเข้าซื้อ property	In Progress	Optional (ไม่ระบุใน flow ใหม่)
	acquisition-service	หลัง CEO อนุมัติเข้าซื้อ	Publish event	Kafka	acquisition.approval.granted	{"acquisitionId":<UUID>,"approvedPrice":<number>,"approvedBy":<string>}	Legal ร่าง willing contract แล้ว publish acquisition.contract.drafted	ส่งคำอนุมัติให้ Legal ดำเนินการร่างสัญญาจะซื้อจะขายต่อ	In Progress	Optional (ไม่ระบุใน flow ใหม่)
	acquisition-service	อยากดู list ที่รออนุมัติ	REST query	GET	https://acquisition-service.onrender.com/api/acquisitions?status=APPROVAL_REQUESTED	Query: status (enum)	200 OK + Acquisition[]	filter ตาม state เพื่อจัดการคิวการอนุมัติ	Done	สามารถยิงทดสอบได้แล้ว (Optional)
	acquisition-service	หลัง Legal+Inventory ตรวจสอบ property ใน Flow 1	Subscribe event	Kafka	property.inspected	{"acquisitionId":<UUID>,"surveyId":<UUID>,"propertyId":<UUID>,"inspectedBy":<string>,"inspectionResult":<enum: PASS|FAIL>,"inspectionNotes":<string>,"inspectedAt":<ISO8601>}	CEO ใช้ผลตรวจประกอบการอนุมัติ	Subscribe เพื่อรับผลตรวจ property จาก Legal+Inventory ก่อนอนุมัติเข้าซื้อ	In Progress	Required (Flow 1)
	contract-service	หลัง Legal ตรวจ lease + encumbrance ของ property ก่อนทำ purchase contract	Subscribe event	Kafka	property.lease.inspected	{"inspectionId":<UUID>,"contractId":<UUID>,"unitId":<UUID>,"hasOutstandingLease":<boolean>,"hasEncumbrance":<boolean>,"inspectionResult":<enum: PASS|FAIL>,"notes":<string>,"inspectedAt":<ISO8601>}	CEO ใช้ผลตรวจประกอบการอนุมัติทำสัญญาขายจริง	Subscribe เพื่อรับผลตรวจ lease ก่อนทำสัญญาขายเต็มรูปแบบ	In Progress	Required (Flow 2)
Payment	contract-service	เมื่อ Legal ร่างสัญญาซื้อขายจริงเสร็จ	Subscribe event	Kafka	contract.drafted	{"contractId":<UUID>,"bookingId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"status":<enum: DRAFT|PENDING_SIGN|SIGNED|CANCELLED>,"fileUrl":<string>,"templateId":<UUID>,"createdAt":<ISO8601>,"draftedAt":<ISO8601>}	เริ่มกระบวนการรับเงินงวดที่ 2	Subscribe เพื่อทราบว่าสัญญาขายพร้อมเซ็น สามารถเก็บเงินงวด 2 ได้	In Progress	Required (Flow 2)
Post-sale	contract-service	เมื่อ Legal ร่างสัญญาซื้อขายจริงเสร็จ	Subscribe event	Kafka	contract.drafted	{"contractId":<UUID>,"bookingId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"status":<enum: DRAFT|PENDING_SIGN|SIGNED|CANCELLED>,"fileUrl":<string>,"templateId":<UUID>,"createdAt":<ISO8601>,"draftedAt":<ISO8601>}	เตรียม onboarding ลูกค้าหลังเซ็นสัญญา	Subscribe เพื่อเตรียม customer onboarding (delivery, warranty)	In Progress	Required (Flow 2)
	warranty-service	หลังส่งมอบ unit ให้ลูกค้า	Publish event	Kafka	warranty.coverage.registered	{"contractId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"startsAt":<ISO8601>,"endsAt":<ISO8601>,"coveredCategories":["STRUCTURAL","ELECTRICAL","PLUMBING","FINISHING","APPLIANCE","OTHER"]}	Legal บันทึก warranty coverage ในระบบ	ลงทะเบียน warranty ของ unit ที่ส่งมอบแล้วเพื่อรอ verify defect ในอนาคต	In Progress	Optional (Flow 4 ใหม่ Post-sale ตรวจเอง)
	warranty-service	เมื่อลูกค้าแจ้ง defect	Publish event	Kafka	warranty.defect.reported	{"defectId":<UUID>,"contractId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"defectCategory":<enum: STRUCTURAL|ELECTRICAL|PLUMBING|FINISHING|APPLIANCE|OTHER>,"description":<string>,"reportedAt":<ISO8601>}	Legal ตรวจ warranty แล้ว publish warranty.coverage.verified กลับมา	ส่ง defect report ให้ Legal ตรวจสอบความคุ้มครอง	In Progress	Optional (Flow 4 ใหม่ Post-sale ตรวจเอง)
	warranty-service	เมื่อ Legal ตรวจ warranty เสร็จ	Subscribe event	Kafka	warranty.coverage.verified	{"claimId":<UUID>,"warrantyId":<UUID>,"defectId":<UUID>,"contractId":<UUID>,"unitId":<UUID>,"customerId":<UUID>,"coverageStatus":<enum: COVERED|REJECTED>,"coverageReason":<string>,"verifiedAt":<ISO8601>,"expiresAt":<ISO8601>}	ใช้ data ไปนัดซ่อม / แจ้งลูกค้า	Subscribe topic เพื่อรับผลตรวจ warranty	In Progress	Optional (Flow 4 ใหม่ Post-sale ตรวจเอง)
	warranty-service	อยากดู warranty ของสัญญา (Flow 4 — ตรวจ warranty ก่อนนัดซ่อม)	REST query	GET	https://warranty-service-gtv0.onrender.com/api/warranties/{contractId}	Path: contractId (UUID)	200 OK + Warranty object | 404 Not Found	อ่าน warranty พร้อม claims ทั้งหมด	Done	Required (Flow 4 — Post-sale ใช้ตรวจ warranty)
	warranty-service	อยากดู list claims ภายใต้ warranty	REST query	GET	https://warranty-service-gtv0.onrender.com/api/warranties/{warrantyId}/claims	Path: warrantyId (UUID)	200 OK + WarrantyClaim[] | 404 Not Found	list ทุก claim ที่ลูกค้าเคยแจ้ง	Done	สามารถยิงทดสอบได้แล้ว (Optional)
	warranty-service	หลังซ่อม + แจ้งลูกค้าเสร็จ ปิดเคส defect	Publish event	Kafka	case.closed	{"caseId":<UUID>,"defectId":<UUID>,"contractId":<UUID>,"closedBy":<string>,"closedAt":<ISO8601>,"resolution":<string>}	Legal archive case ในระบบ	Post-sale แจ้งปิดเคส Legal subscribe ไป archive ในระบบ	In Progress	Required (Flow 4)
Frontend / Customer UI	contract-service	แสดงสัญญาให้ลูกค้าดูใน UI	REST query	GET	https://contract-service-h5fs.onrender.com/api/contracts/{id}	Path: id (UUID)	200 OK + Contract object	อ่านสถานะสัญญาตาม id	Done	เป็น action ภายในของ Team Legal
	contract-service	แสดงสัญญาทั้งหมดของลูกค้าใน profile	REST query	GET	https://contract-service-h5fs.onrender.com/api/contracts?customerId={uuid}	Query: customerId (UUID)	200 OK + Contract[]	list สัญญาของลูกค้า	Done	เป็น action ภายในของ Team Legal
	warranty-service	แสดง warranty info ให้ลูกค้าใน UI	REST query	GET	https://warranty-service-gtv0.onrender.com/api/warranties/{contractId}	Path: contractId (UUID)	200 OK + Warranty object	อ่านสถานะ warranty	Done	เป็น action ภายในของ Team Legal
Internal Admin	contract-service	audit / ตรวจ list ทั้งหมด	REST query	GET	https://contract-service-h5fs.onrender.com/api/contracts	(none)	200 OK + Contract[]	ดูสัญญาทั้งระบบ (admin)	Done	เป็น action ภายในของ Team Legal
	acquisition-service	audit / ตรวจ list ทั้งหมด	REST query	GET	https://acquisition-service.onrender.com/api/acquisitions	(none)	200 OK + Acquisition[]	ดู acquisition ทั้งระบบ (admin)	Done	เป็น action ภายในของ Team Legal
DevOps	contract-service	UptimeRobot ping ทุก 5 นาที	REST query	GET	https://contract-service-h5fs.onrender.com/health	(none)	{"status":"UP","service":"contract-draft-service"}	Health check กัน Render free tier sleep	Done	เป็น action ภายในของ Team Legal
	acquisition-service	UptimeRobot ping ทุก 5 นาที	REST query	GET	https://acquisition-service.onrender.com/health	(none)	{"status":"UP","service":"property-acquisition-service"}	Health check	Done	เป็น action ภายในของ Team Legal
	warranty-service	UptimeRobot ping ทุก 5 นาที	REST query	GET	https://warranty-service-gtv0.onrender.com/health	(none)	{"status":"UP","service":"warranty-verification-service"}	Health check	Done	เป็น action ภายในของ Team Legal
API Docs	Contract	Swagger UI ดู API ทั้งหมด + ลองยิงได้	REST query	GET	https://contract-service-h5fs.onrender.com/docs	(none)	HTML (Swagger UI)	เปิด browser ดู API spec ของ contract-service ได้เลย	Done	เป็น action ภายในของ Team Legal
	Acquisition	Swagger UI ดู API ทั้งหมด + ลองยิงได้	REST query	GET	https://acquisition-service.onrender.com/docs	(none)	HTML (Swagger UI)	เปิด browser ดู API spec ของ acquisition-service	Done	เป็น action ภายในของ Team Legal
	Warranty	Swagger UI ดู API ทั้งหมด + ลองยิงได้	REST query	GET	https://warranty-service-gtv0.onrender.com/docs	(none)	HTML (Swagger UI)	เปิด browser ดู API spec ของ warranty-service	Done	เป็น action ภายในของ Team Legal
